"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250128,2025-01-28,001602,CBT ,00,001 ,  494400,  133872,  224983,  147208,  175754,   89465,  456834,  461656,   37566,   32744,  348815,  162689,  196530,   62977,   94330,   66182,  319996,  325689,   28819,   23126,  145585,   36016,   93286,   19398,   81424,   23283,  136838,  135967,    8747,    9618,   22131,   -5039,   13063,    8716,   16136,   -1288,   19813,   20491,    2318,    1640,  100.0,   27.1,   45.5,   29.8,   35.5,   18.1,   92.4,   93.4,    7.6,    6.6,  100.0,   46.6,   56.3,   18.1,   27.0,   19.0,   91.7,   93.4,    8.3,    6.6,  100.0,   24.7,   64.1,   13.3,   55.9,   16.0,   94.0,   93.4,    6.0,    6.6,    383,    129,    105,    117,    110,     97,    302,    265,    372,    133,    101,     77,    102,     77,    273,    218,    219,     49,     72,     45,     56,     73,    138,    160,    12.0,    13.3,    19.6,    24.1,     9.9,    10.7,    15.9,    18.8,    14.7,    16.5,    23.2,    28.5,    14.6,    13.6,    21.8,    24.9,    20.6,    24.0,    36.0,    38.1,    20.6,    24.0,    35.9,    38.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250121,2025-01-21,001602,CBT ,00,001 ,  472269,  138911,  211920,  138492,  159618,   90753,  437021,  441165,   35248,   31104,  337315,  160610,  179542,   66428,   82518,   69958,  309556,  315928,   27759,   21387,  134954,   32537,   86614,   17828,   77100,   20795,  127465,  125237,    7489,    9717,   -3292,     139,   -9061,    -169,   -4564,    6056,   -4594,   -3174,    1302,    -118,  100.0,   29.4,   44.9,   29.3,   33.8,   19.2,   92.5,   93.4,    7.5,    6.6,  100.0,   47.6,   53.2,   19.7,   24.5,   20.7,   91.8,   93.7,    8.2,    6.3,  100.0,   24.1,   64.2,   13.2,   57.1,   15.4,   94.5,   92.8,    5.5,    7.2,    374,    129,    100,    118,    108,     98,    299,    262,    359,    133,     91,     83,     96,     78,    266,    216,    213,     52,     64,     45,     56,     67,    137,    151,    10.8,    14.2,    19.1,    24.3,    10.0,    11.0,    16.4,    18.7,    13.8,    17.1,    23.4,    29.9,    12.8,    13.7,    19.8,    24.9,    21.4,    22.8,    36.8,    36.5,    21.4,    22.8,    36.4,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250114,2025-01-14,001602,CBT ,00,001 ,  475561,  138772,  220981,  138661,  164182,   84697,  441615,  444339,   33946,   31222,  343556,  162154,  190615,   66445,   88636,   64384,  317235,  321444,   26321,   22112,  132005,   32965,   86713,   15869,   75546,   20313,  124380,  122895,    7625,    9110,    3626,     375,    3110,    5478,   -2337,   -3687,    3516,    4901,     110,   -1275,  100.0,   29.2,   46.5,   29.2,   34.5,   17.8,   92.9,   93.4,    7.1,    6.6,  100.0,   47.2,   55.5,   19.3,   25.8,   18.7,   92.3,   93.6,    7.7,    6.4,  100.0,   25.0,   65.7,   12.0,   57.2,   15.4,   94.2,   93.1,    5.8,    6.9,    386,    128,    110,    116,    108,     96,    301,    265,    373,    135,    101,     80,     97,     77,    267,    224,    217,     47,     71,     42,     57,     67,    134,    155,    11.7,    14.2,    20.2,    25.1,    10.8,    11.4,    17.4,    19.2,    14.9,    17.6,    24.4,    30.6,    14.3,    14.8,    21.9,    25.9,    21.3,    24.5,    37.1,    37.1,    21.3,    24.5,    36.1,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250107,2025-01-07,001602,CBT ,00,001 ,  471935,  138397,  217871,  133183,  166519,   88384,  438099,  439438,   33836,   32497,  350718,  154354,  192140,   63989,  104910,   70606,  323253,  326735,   27465,   23983,  121217,   36522,   78210,   16715,   61609,   17778,  114846,  112703,    6371,    8514,   11518,    2139,    5149,    7178,    2292,   -1210,   11609,   11117,     -91,     401,  100.0,   29.3,   46.2,   28.2,   35.3,   18.7,   92.8,   93.1,    7.2,    6.9,  100.0,   44.0,   54.8,   18.2,   29.9,   20.1,   92.2,   93.2,    7.8,    6.8,  100.0,   30.1,   64.5,   13.8,   50.8,   14.7,   94.7,   93.0,    5.3,    7.0,    398,    122,    126,    120,    108,     97,    302,    280,    384,    126,    119,     80,    103,     82,    270,    241,    215,     53,     69,     43,     50,     65,    127,    155,    12.7,    14.3,    20.9,    24.7,    10.9,    11.3,    17.4,    19.1,    16.0,    17.0,    24.6,    29.5,    15.5,    15.8,    22.2,    26.4,    21.4,    29.2,    34.3,    41.7,    21.4,    29.1,    34.2,    41.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",250128,2025-01-28,001612,CBT ,00,001 ,  290141,   73431,   97581,   73320,  125434,   99041,  272185,  269942,   17956,   20199,  209948,   95471,   90560,   31853,   71142,   72586,  198466,  194999,   11482,   14949,   80193,   12025,   41086,    7402,   54292,   26455,   73719,   74943,    6474,    5250,   -5631,   -2848,    3335,   -6326,    3760,   -3531,   -5414,   -6522,    -217,     891,  100.0,   25.3,   33.6,   25.3,   43.2,   34.1,   93.8,   93.0,    6.2,    7.0,  100.0,   45.5,   43.1,   15.2,   33.9,   34.6,   94.5,   92.9,    5.5,    7.1,  100.0,   15.0,   51.2,    9.2,   67.7,   33.0,   91.9,   93.5,    8.1,    6.5,    239,     61,     68,     70,     77,     69,    182,    168,    234,     70,     60,     48,     63,     66,    158,    150,    152,     26,     40,     29,     58,     50,    106,     99,    13.1,    15.9,    24.0,    25.1,    12.9,    13.7,    23.3,    21.3,    16.6,    18.6,    29.8,    28.7,    16.1,    18.6,    27.0,    28.0,    24.2,    24.0,    37.4,    39.1,    24.2,    23.6,    36.3,    38.4,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",250121,2025-01-21,001612,CBT ,00,001 ,  295772,   76279,   94246,   79646,  121674,  102572,  277599,  276464,   18173,   19308,  218972,   99126,   89676,   38006,   69572,   76932,  206704,  204614,   12268,   14358,   76800,   14616,   42033,    4177,   52102,   25640,   70895,   71850,    5905,    4950,   11007,    2424,    -353,    5822,    3107,    6024,   11353,   11493,    -346,    -486,  100.0,   25.8,   31.9,   26.9,   41.1,   34.7,   93.9,   93.5,    6.1,    6.5,  100.0,   45.3,   41.0,   17.4,   31.8,   35.1,   94.4,   93.4,    5.6,    6.6,  100.0,   19.0,   54.7,    5.4,   67.8,   33.4,   92.3,   93.6,    7.7,    6.4,    247,     66,     69,     71,     80,     73,    191,    174,    241,     76,     60,     50,     63,     69,    163,    156,    153,     25,     42,     24,     60,     51,    103,    100,    13.4,    15.6,    24.9,    26.1,    12.8,    13.5,    23.0,    21.5,    17.7,    18.1,    31.2,    29.2,    15.8,    17.7,    27.3,    27.5,    25.1,    24.9,    39.2,    39.8,    25.1,    24.2,    39.2,    39.1,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",250114,2025-01-14,001612,CBT ,00,001 ,  284765,   73855,   94599,   73824,  118567,   96548,  266246,  264971,   18519,   19794,  214340,   93903,   89580,   36504,   70940,   73315,  201347,  199399,   12993,   14941,   70425,   14381,   39448,    2891,   47627,   23233,   64899,   65572,    5526,    4853,    7123,   -2059,    2813,    3605,    3837,    -994,    5383,    5424,    1740,    1699,  100.0,   25.9,   33.2,   25.9,   41.6,   33.9,   93.5,   93.0,    6.5,    7.0,  100.0,   43.8,   41.8,   17.0,   33.1,   34.2,   93.9,   93.0,    6.1,    7.0,  100.0,   20.4,   56.0,    4.1,   67.6,   33.0,   92.2,   93.1,    7.8,    6.9,    247,     67,     66,     62,     82,     76,    185,    173,    241,     74,     59,     46,     71,     73,    167,    157,    148,     23,     41,     20,     59,     49,     97,     95,    13.3,    16.7,    25.6,    27.3,    13.0,    13.8,    23.3,    21.9,    17.3,    19.2,    30.8,    30.6,    16.3,    17.6,    26.5,    27.3,    26.7,    26.5,    41.7,    41.3,    26.7,    26.1,    41.7,    40.6,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",250107,2025-01-07,001612,CBT ,00,001 ,  277642,   75914,   91786,   70219,  114730,   97542,  260863,  259547,   16779,   18095,  213836,   93516,   89749,   35075,   73057,   74655,  201648,  199479,   12188,   14357,   63806,   15031,   34670,    2511,   41673,   22887,   59215,   60068,    4591,    3738,    -680,    -205,   -1322,    1221,    -398,    -780,     618,    -881,   -1298,     201,  100.0,   27.3,   33.1,   25.3,   41.3,   35.1,   94.0,   93.5,    6.0,    6.5,  100.0,   43.7,   42.0,   16.4,   34.2,   34.9,   94.3,   93.3,    5.7,    6.7,  100.0,   23.6,   54.3,    3.9,   65.3,   35.9,   92.8,   94.1,    7.2,    5.9,    247,     72,     64,     69,     79,     75,    186,    178,    243,     77,     61,     50,     69,     71,    168,    160,    151,     26,     42,     20,     53,     51,     91,    101,    13.6,    16.5,    25.3,    27.1,    13.3,    13.8,    22.4,    22.2,    16.7,    19.5,    29.5,    30.7,    16.2,    17.1,    25.6,    27.3,    30.1,    23.2,    46.4,    38.6,    30.1,    23.2,    46.4,    38.1,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MIAX FUTURES EXCHANGE",250128,2025-01-28,001626,MGE ,00,001 ,   97160,   23115,   41891,   13750,   47780,   30665,   84645,   86306,   12515,   10854,   89542,   25457,   41894,   11251,   41748,   26580,   78456,   79725,   11086,    9817,    7618,      76,    2415,      81,    6032,    4085,    6189,    6581,    1429,    1037,    3375,    2517,   -2135,     599,     134,    4947,    3250,    3411,     125,     -36,  100.0,   23.8,   43.1,   14.2,   49.2,   31.6,   87.1,   88.8,   12.9,   11.2,  100.0,   28.4,   46.8,   12.6,   46.6,   29.7,   87.6,   89.0,   12.4,   11.0,  100.0,    1.0,   31.7,    1.1,   79.2,   53.6,   81.2,   86.4,   18.8,   13.6,    135,     33,     32,     28,     58,     42,    100,     95,    135,     35,     32,     27,     57,     39,     99,     91,     57,      2,     13,      5,     27,     23,     34,     37,    15.3,    25.3,    25.8,    39.4,    13.4,    25.1,    22.8,    35.9,    16.6,    27.3,    27.7,    41.7,    14.4,    27.1,    24.3,    38.0,    40.9,    41.4,    58.0,    58.5,    40.9,    41.3,    58.0,    56.1,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"WHEAT-HRSpring - MIAX FUTURES EXCHANGE",250121,2025-01-21,001626,MGE ,00,001 ,   93785,   20598,   44026,   13151,   47646,   25718,   81395,   82895,   12390,   10890,   86517,   22874,   44041,   10733,   41934,   21893,   75541,   76667,   10976,    9850,    7268,      78,    2339,      64,    5712,    3825,    5854,    6228,    1414,    1040,    2149,    2990,    -683,   -2078,     747,    4843,    1659,    2082,     490,      67,  100.0,   22.0,   46.9,   14.0,   50.8,   27.4,   86.8,   88.4,   13.2,   11.6,  100.0,   26.4,   50.9,   12.4,   48.5,   25.3,   87.3,   88.6,   12.7,   11.4,  100.0,    1.1,   32.2,    0.9,   78.6,   52.6,   80.5,   85.7,   19.5,   14.3,    132,     30,     33,     25,     58,     40,     98,     89,    132,     31,     33,     23,     58,     36,     97,     84,     57,      2,     13,      4,     25,     25,     30,     40,    15.6,    27.0,    26.2,    40.0,    14.4,    27.0,    23.8,    38.0,    16.5,    29.3,    27.8,    42.3,    15.2,    29.3,    25.5,    40.2,    42.0,    41.4,    59.2,    59.4,    42.0,    41.4,    59.2,    57.0,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
